build_id,duration
324066186,2435
324105126,962
324392958,2409
324591847,2568
324144149,943
324970042,911
325017920,2449
325023443,2242
325039781,2318
325067979,2358
325072128,2507
325082390,2493
325106510,904
325348484,2543
325362670,2375
325364815,2274
325375123,2608
325456603,2350
325457809,2340
325786621,2567
326261760,2374
326262610,2416
326378056,2672
326722031,2084
326848818,2242
326851250,2241
326852281,2551
326852431,2210
326852977,2455
326855303,296
326875602,2623
326876478,318
326877243,186
326877271,368
326885698,782
327129320,2249
327130890,634
327132403,2368
327140394,2809
327143365,849
327260581,2326
327263651,2435
327597685,2438
327599308,2367
327612533,2259
327614090,2327
327615851,2296
327619515,2112
327646168,697
327646557,544
327653401,60
327654067,698
327656624,2174
327705217,2445
327713298,2155
327723626,592
327727100,2874
327727985,2503
327730006,751
327735411,645
327737888,2740
327743414,107
327744606,2802
327745941,2396
328005469,807
327759144,534
328008967,2381
328019643,2519
328021595,641
328080075,2365
328109137,2461
328114436,566
328118299,2267
328118715,2365
328119252,2240
328119821,2354
328131919,674
328134207,617
328461392,2491
328691985,2320
328966439,2343
328970395,2227
328982205,985
328995994,1172
329012358,1073
329013236,2186
329034883,1245
329037642,1119
329049473,1395
329056433,2963
329056794,1119
329060025,2501
329060687,2649
329062918,1182
329070754,2849
329075565,2717
329075574,2508
329082934,2484
329085623,1132
329089555,1136
329184675,450
329220569,569
329223869,1336
329227907,1219
329337116,2476
329344990,2522
329352209,2725
329354137,2473
329417731,1087
329418269,1158
329420349,1336
329428805,1357
329440330,2423
329440571,2313
329377808,121
329506376,618
329516566,545
329794232,570
329797859,533
329767800,2196
329828741,2351
329828841,2137
329836451,877
329841796,2438
329841739,2246
329843098,668
329844458,2374
329852619,418
329854331,557
329866370,430
329887651,415
329888086,586
329888300,420
329889447,2652
330230552,2272
330233020,2504
330233076,2291
330255284,2511
330256930,2420
330258375,2633
330335151,2541
330380783,2586
330380847,2939
330392990,2407
330390328,2767
330407273,2472
330727417,2750
330737770,593
330741230,79
330747586,560
330747845,523
330925539,107
331198895,2887
331684594,2712
331687928,2824
331689407,2742
331698878,2636
331704965,2440
331719413,674
330785513,2519
331746833,2745
331746568,2526
331778592,2874
331781801,2851
331800259,423
331821766,485
331822580,513
331910508,2642
332205204,2796
332219271,681
332249325,2738
332250703,2668
332299198,2397
332319159,2465
332323797,2790
332369643,2748
332711380,2680
332725240,2486
332740794,2624
332743513,2675
332747999,2726
332781086,4926
332805257,2935
332823613,2842
332843995,2706
332852335,2664
333142406,182
333146932,1232
333198278,2963
333253096,2681
333250004,1445
333275201,1128
333278717,2955
333283558,963
333286069,233
333294171,903
333308891,1239
333310256,1354
333328722,1153
333350305,3334
333351305,3262
333382005,3156
333396734,3085
333402064,3231
333607005,2844
333607550,2820
333608761,2847
333616661,2904
333616953,2816
333626904,3764
333629626,3737
333676891,2977
333680880,2875
333692656,1086
333695368,3490
333705991,3688
333713615,1663
333726209,1469
333735021,1815
333742962,3599
333770382,3598
333782180,3980
333783366,1108
333785321,1712
333789291,1833
333796130,1687
334589303,1127
334373992,3782
334598909,4156
334601299,3643
334608290,1202
334623090,931
334624848,3965
334624997,3871
334626832,97
334627292,3813
334627673,121
334629181,3726
334634206,27
334636246,999
334637854,854
334647486,588
334662089,977
334672344,755
334704033,931
334721937,72
334725211,74
334737056,951
335043117,1001
335116267,3304
335118310,3438
335122221,1196
335131088,976
335131768,3776
335164277,3314
335205627,4174
335515197,850
335521599,1126
335525794,1001
335542828,3659
335545969,3240
335547039,3110
335555890,3108
335618753,4015
335984298,3789
336028740,229
336028815,3874
336029989,3706
336030004,3332
336032880,3726
336032913,88
336033886,3139
336050973,3319
336056202,3385
336061452,3923
336061745,3260
336065127,3805
336065447,3253
336069159,3253
336091977,3835
336101430,2391
336102391,35
336102476,2547
336103989,2700
336110156,670
336113853,3380
336114918,682
336116775,4067
336131311,1362
336133832,3678
336161726,3588
336162190,3991
336166148,1038
336174202,3415
336445628,3492
336448891,3410
336458933,2991
336478379,3293
336478765,3041
336489448,4054
336510753,3201
336512212,1461
336528092,3584
336529444,3283
336529872,1469
336536642,3356
336544544,3231
336550266,3754
336556096,170
336564204,470
336569723,3137
336593885,3976
336594159,1964
336594453,3989
336608953,543
337213390,3883
337423493,508
337424966,764
337425858,3447
337427993,3332
337428407,2010
337428731,3321
337437395,3287
337440600,3283
337445574,3389
337448325,3774
337463275,1978
337465579,3341
337467427,3227
337470712,3140
337470777,3284
337508167,1757
337512162,1786
337525205,3835
337525785,1788
337529423,3319
337535703,3995
337535731,1007
337541252,3970
337544615,1070
337544619,3823
337546289,3239
337547217,4112
337548956,3769
337549166,3437
337573069,3785
337574782,3264
337576381,4050
337594572,3276
337599261,3217
337600647,141
337601002,3692
337601203,4081
337611349,241
337612764,3855
337614536,281
337615080,3802
337886838,3446
337906117,3395
337948450,3386
337948547,3237
337972587,3355
338069329,3187
338089100,3812
338381545,3383
338381706,3861
338386172,4336
338389139,1642
338401279,326
338404826,360
338407035,1497
338418582,1434
338421531,1339
338422730,1459
338430167,1393
338461764,1751
338868486,1366
338874966,1484
338890563,1721
338920288,3640
338944633,3731
338961492,1906
338962142,3355
338971417,2106
338971883,3370
338972992,3453
338981713,1990
338996416,1947
339009345,2223
339037567,1984
339042230,2115
339045898,1933
339183401,1943
339381044,3162
339381818,4007
339849124,3883
340138692,4091
340393201,3517
340450120,3267
340522233,3756
340855041,3922
340890927,3382
340969895,4153
340973766,3933
340993753,248
341003902,3667
341332014,3677
341349054,3435
341349449,3762
341349987,3685
341378518,3770
341385090,4544
341393189,628
341394596,552
341410121,3792
341395888,4082
341423039,672
341430671,3604
341434243,3870
341447135,4349
341456968,4323
341465884,4481
341432246,3636
341758080,3978
341761518,3875
341762759,3873
341785036,3880
341786023,4321
341798064,4714
341838758,3605
341857940,4017
341858439,4656
341861413,3776
341864155,4309
341869801,4819
341870880,3971
341905365,3387
341905668,4435
341907175,4133
341909484,274
341920661,4430
341925793,3537
341933413,4530
341986156,5369
341992145,5855
341998338,3974
342058322,4151
342084717,3691
342243036,4186
342249221,4328
342275702,3818
342290157,4117
342291416,3798
342304944,4439
342307785,3764
342322939,4770
342328004,3823
342747803,4801
343294259,5219
343845777,1600
343853815,4533
343864604,4017
344671200,2008
344683083,2122
344715076,4302
344801433,4308
344814809,4545
344983146,5321
345158554,3916
345217208,2056
345294891,4246
345217437,3961
345306263,4994
345936564,4698
346234520,1245
346236711,4182
346266131,3583
346274540,4008
346280020,4619
346305346,2142
346308845,4798
346345093,2148
346654879,4654
346657198,262
346659626,1751
346660412,1860
346667249,2114
346667731,887
346668094,1678
346668144,1779
346668377,1581
346711498,1832
346755897,4275
346765149,4519
346798023,3927
346805396,4107
346812389,1763
346813236,1904
346813490,1705
346815937,1757
347139882,1871
347140445,1661
347154269,4600
347159243,4427
347171832,4760
347180433,1614
347184669,1532
347184680,1781
347182891,1232
347189061,124
347189158,1754
347189212,1819
347189974,3931
347196115,80
347196191,1617
347196204,1578
347202026,104
347202838,1835
347202851,2022
347205317,4910
347216905,4721
347217591,4658
347227484,4289
347267585,147
347267654,1887
347267689,2190
347288833,1628
347288968,2450
347310722,111
347310753,2768
347310834,2675
347632952,120
347632967,2517
347632977,2360
347643495,141
347643509,2449
347643519,2598
347750127,152
347750177,2530
347750185,2300
347754106,4003
347759138,4807
347771471,2410
347771514,123
347771554,2448
347784767,4062
347791187,4875
347799696,297
347799711,5030
347799773,4765
347814893,5167
347836851,4705
347854799,4377
347865872,4271
348116577,156
348116585,5577
348116622,4838
348649273,5167
348935367,5014
349163818,118
349164053,5232
349164088,4765
349231150,4294
349231161,4089
349236934,4651
349300128,4647
349301404,4727
349305880,4557
349656429,156
349656465,5241
349656488,4853
349735814,4465
349814319,4610
349818509,4233
349829322,3910
349834838,4531
349842352,4814
349850438,4015
349852570,4049
349857862,4675
349861185,4398
349871295,4245
349881673,160
349883318,5084
349883415,130
349883508,5091
349883644,4720
349885421,4718
350184202,106
350184221,4656
350184234,4311
350235220,91
350235275,4867
350251387,4459
350235271,5336
350295676,4674
350299080,4848
350299109,5134
350308269,5460
350810129,218
350810175,5174
350831201,1571
350849727,4001
350884504,4608
351217999,4653
351238492,3883
351269655,799
351269700,3557
351270371,5136
351272204,4747
351272245,3759
351275226,4053
351286774,2215
351323795,4820
351708422,5121
352210429,3526
352215977,4780
352290134,3954
352291338,4014
352305232,1596
352305490,1468
352374092,1611
352375237,1771
352375436,4456
352376596,1466
352376625,99
352376691,1648
352377017,1557
352747059,4446
352798491,4096
352817844,4111
352859840,4046
352907482,4155
352917279,4257
352937546,3720
352965592,3862
353298488,3028
353362738,3657
353363096,4293
353368950,4016
353375103,4210
353420153,3723
353584476,4487
353746693,3897
353747992,3733
353807794,4757
353837983,3175
353894854,3814
353954056,4009
353962144,4060
354192311,4185
354349056,4400
354351173,3860
354355027,3905
354639595,4576
354735638,4206
355233329,3708
355306279,4368
355341804,3895
