Project,Severity,Branch,Date,Build,Percentile,Duration
Activiti_Activiti,Medium,balsarori-dev-service-task-parser-1759,2018-02-26 18:38:33,346423270,100,806
Activiti_Activiti,Medium,balsarori-dev-service-task-parser-1759,2018-02-26 18:39:30,346423532,100,804
Activiti_Activiti,Medium,balsarori-dev-service-task-parser-1759,2018-03-01 11:14:15,347714206,100,797
Activiti_Activiti,Medium,daisuke-rest-deployment-category-5,2018-02-02 18:39:10,336680241,100,1679
Activiti_Activiti,Medium,daisuke-rest-deployment-category-6,2018-02-01 12:41:51,336078793,100,876
Activiti_Activiti,High,daisuke-signal-var,2018-07-27 23:10:20,409150824,100,630
Activiti_Activiti,High,daisuke-signal-var,2018-08-01 16:04:41,410880492,100,749
Activiti_Activiti,High,daisuke-signal-var,2018-08-01 16:07:51,410881323,100,762
Activiti_Activiti,High,elias-1943-fix-cloud-connectors,2018-07-26 13:37:17,408514504,100,700
Activiti_Activiti,Medium,feature/mteodori-1615-snyk-badge,2018-02-01 11:48:10,336062227,100,870
Activiti_Activiti,Medium,feature/mteodori-1767-log4j-vulnerability,2018-02-16 19:22:42,342489041,100,1199
Activiti_Activiti,Medium,feature/mteodori-1767-log4j-vulnerability,2018-02-16 19:32:21,342492394,100,1204
Activiti_Activiti,Medium,feature/mteodori-1767-log4j-vulnerability,2018-02-17 01:14:47,342612819,100,1111
Activiti_Activiti,Medium,feature/mteodori-1767-log4j-vulnerability,2018-02-17 01:34:12,342618045,100,1174
Activiti_Activiti,Medium,feature/mteodori-1767-log4j-vulnerability,2018-02-17 02:03:50,342625733,100,1261
Activiti_Activiti,Medium,feature/mteodori-1838-temporary-jackson-dependency-check-exclusion-5.x,2018-03-23 15:28:04,357446913,100,1456
Activiti_Activiti,Medium,feature/mteodori-1838-temporary-jackson-dependency-check-exclusion-6.x,2018-03-23 18:01:31,357490681,100,1580
Activiti_Activiti,Medium,fix-api-dependencies,2018-07-26 10:32:07,408441392,100,553
Activiti_Activiti,High,fix-api-dependencies,2018-07-26 13:05:39,408448327,100,665
Activiti_Activiti,Medium,fix-task-local-var-exec-id,2018-02-05 17:09:40,337644811,100,1458
Activiti_Activiti,Medium,fix-task-local-var-exec-id,2018-02-05 19:41:07,337707633,100,1502
